geography,quarter,delinquency_rate_pct,delinquency_rank
Regina,2025Q4,0.43,1
Barrie,2025Q4,0.34,2
Abbotsford-Mission,2025Q4,0.29,3
Oshawa,2025Q4,0.29,3
Toronto,2025Q4,0.29,3
Edmonton,2025Q4,0.28,6
Brantford,2025Q4,0.27,7
St. Catharines-Niagara,2025Q4,0.26,8
Peterborough,2025Q4,0.25,9
Saskatoon,2025Q4,0.25,9
Thunder Bay,2025Q4,0.25,9
Winnipeg,2025Q4,0.25,9
London,2025Q4,0.23,13
Hamilton,2025Q4,0.22,14
Windsor,2025Q4,0.22,14
Kelowna,2025Q4,0.21,16
Kitchener-Cambridge-Waterloo,2025Q4,0.21,16
Moncton,2025Q4,0.21,16
Saguenay,2025Q4,0.21,16
Saint John,2025Q4,0.21,16
St. John's,2025Q4,0.21,16
Vancouver,2025Q4,0.21,16
Charlottetown,2025Q4,0.19,23
Greater Sudbury,2025Q4,0.18,24
Guelph,2025Q4,0.18,24
Kingston,2025Q4,0.18,24
Calgary,2025Q4,0.17,27
Halifax,2025Q4,0.16,28
Montréal,2025Q4,0.16,28
Ottawa-Gatineau,2025Q4,0.16,28
Sherbrooke,2025Q4,0.13,31
Trois-Riviéres,2025Q4,0.13,31
Québec City,2025Q4,0.11,33
Victoria,2025Q4,0.1,34
